,ID,聚酯纤维,氨纶,粘纤,锦纶,腈纶,羊毛,棉,其他纤维,醋纤,三醋酯纤维,聚酯薄膜纤维,莱赛尔,亚麻,兔毛,聚酰胺薄膜纤维,再生纤维素纤维,莱赛尔纤维,桑蚕丝,山羊绒,莫代尔,马海毛,羊驼毛,三醋纤
118,60177.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,65929.0,91.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,66068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,60334.0,0,0,25.7,49.5,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,60306.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,65913.0,0,2.5,0,16.4,0,0,81.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,66696.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,65920.0,95.8,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,66372.0,91.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,68936.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,69269.0,0,0,0,0,51.1,48.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,68412.0,95.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,66735.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,70129.0,15.0,0,68.9,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,70222.0,0,0,0,49.7,0,0,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,70266.0,94.7,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,70215.0,0,9.2,0,0,0,0,90.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,69756.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,70174.0,0,2.7,45.1,0,0,0,0,0,0,0,0,0,52.2,0,0,0,0,0,0,0,0,0,0
137,76745.0,0,7.9,56.3,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,70116.0,51.3,0,0,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
